10/29/2025                                                                      Dynamic List Display                                                                             1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Plnt|Work ctr|Equipment|Func. Loc.|Material      |Component    |POS Create|HU          |ID number|RemQty|BUn|Date      |Time    |Name of user from SAP logon|FIFO      |FIFO    |
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075039   |         |0.000 |KG |10/28/2025|10:25:45|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075043   |         |0.000 |KG |10/28/2025|10:25:45|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075051   |         |0.000 |KG |10/28/2025|10:25:45|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075459   |         |0.000 |KG |10/28/2025|10:25:32|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075463   |         |0.000 |KG |10/28/2025|10:25:32|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017200    |M510017200   |          |503075468   |         |0.000 |KG |10/28/2025|10:25:32|10806301                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355672   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355673   |         |0.000 |KG |10/28/2025|00:53:38|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355675   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355677   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355678   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355680   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355682   |         |0.000 |KG |10/28/2025|00:53:38|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355683   |         |0.000 |KG |10/28/2025|00:53:38|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355686   |         |0.000 |KG |10/28/2025|00:52:44|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355688   |         |0.000 |KG |10/28/2025|00:52:44|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355691   |         |0.000 |KG |10/28/2025|00:52:44|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355693   |         |0.000 |KG |10/28/2025|00:53:38|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355695   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355696   |         |0.000 |KG |10/28/2025|00:52:44|10833547                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355781   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355783   |         |0.000 |KG |10/28/2025|03:50:20|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355784   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355785   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355786   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355787   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355788   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355789   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355790   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355791   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355793   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355794   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355795   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355796   |         |0.000 |KG |10/28/2025|03:23:58|10790315                   |          |00:00:00|
|1815|ME200101|         |CA2001    |M510017230    |M510017230   |          |502355797   |         |0.000 |KG |10/28/2025|10:09:23|10691660                   |          |00:00:00|
