10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
|   S7173553430   |48P CCC UEC FEMALE WIRE SHIELD RETAINING|1815|0051|        1,250 |EA |       1|261|10/15/2025|      |10/15/2025|Deficit of SL Unrestricted-use 776 EA : S7173553430 1815 0051           |18:15:11|M7|021|          |
|   S7173542030   |48P CCC UEC FEMALE WIRE SHIELD RETAINING|1815|0051|       15,900 |EA |      14|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 732 EA : S7173542030 1815 0051           |13:45:05|M7|021|          |
|   S7173453440   |Cavity Seal / Blind Plug Light Gray     |1815|0051|       68,000 |EA |       4|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 8,240 EA : S7173453440 1815 0051         |15:45:17|M7|021|          |
|   S7172179930   |Hybrid Unsealed Wire Shield Down Side   |1815|0051|        3,450 |EA |       3|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 1,038 EA : S7172179930 1815 0051         |10:45:08|M7|021|          |
|   S7172179730   |48P (3XYOT 9.5MM+3XMCP 6.3MM+30XMCP 2.8M|1815|0051|        1,200 |EA |       4|261|10/04/2025|      |10/04/2025|Deficit of SL Unrestricted-use 240 EA : S7172179730 1815 0051           |19:15:05|M7|021|          |
|   S7172155460P  |Front Spacer Holder                     |1815|0054|       15,300 |EA |      57|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 54 EA : S7172155460P 1815 0054           |19:15:38|M7|021|          |
|   S7172101830   |Rear Spacer Holder                      |1815|0051|        2,400 |EA |       2|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,200 EA : S7172101830 1815 0051         |09:45:09|M7|021|          |
|   S7158741350   |CPA                                     |1815|0051|          248 |EA |       2|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 48 EA : S7158741350 1815 0051            |16:15:10|M7|021|          |
|   S7158708050   |CPA                                     |1815|0051|       54,000 |EA |       4|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 816 EA : S7158708050 1815 0051           |00:15:17|M7|021|          |
|   S7158617440   |TPA                                     |1815|0051|       64,000 |EA |       7|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 1,060 EA : S7158617440 1815 0051         |16:45:42|M7|021|          |
|   S7157781880E  |SWP TYPE CONN REAR HOLDER               |1815|0051|       14,000 |EA |       6|261|10/07/2025|      |10/07/2025|Deficit of SL Unrestricted-use 2,000 EA : S7157781880E 1815 0051        |05:15:51|M7|021|          |
|   S7157781780   |Rear Spacer Holder                      |1815|0051|        3,000 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 2,320 EA : S7157781780 1815 0051         |10:15:06|M7|021|          |
