10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
|   M510015040    |Resin ZYTEL HLTN-HPA-LG2D               |1815|0052|        0.658 |KG |       1|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |19:15:14|M7|018|          |
|   M510013100    |PP WPP231H                              |1815|0051|       26.791 |KG |       1|261|10/29/2025|      |10/29/2025|Enter Lote                                                              |01:45:29|M7|018|          |
|   M510006150    |Resin CELANEX 401AC                     |1815|0051|       32.672 |KG |       3|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |23:45:30|M7|018|          |
|   M510006100    |PBT CELANEX 401AC+CELANEX401AC+CELANEXã€|1815|0052|        1.108 |KG |       1|261|10/27/2025|      |10/28/2025|Deficit of BA Unrestricted-use 1.108 KG : M510006100 1815 0052 20251001 |12:41:20|M7|021|20251001  |
|   M510006100    |PBT CELANEX 401AC+CELANEX401AC+CELANEXã€|1815|0052|        5.133 |KG |       4|261|10/29/2025|      |10/29/2025|Enter Batch                                                             |03:45:25|M7|018|          |
|   7198800340    |16P 1.2 YMT SEALED FEMALE OUTER HOUSING |1815|0054|        3,920 |EA |       4|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 480 EA : 7198800340 1815 0054            |12:45:31|M7|021|          |
|   7198799330    |16P 1.2 YMT SEALED FEMALE INNER HOUSING |1815|0054|        3,360 |EA |       3|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 620 EA : 7198799330 1815 0054            |07:15:54|M7|021|          |
|   7198494430    |49P MBS-READY UNSEALED FEMALE CONNECTOR |1815|0053|        3,240 |EA |      28|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 5 EA : 7198494430 1815 0053              |15:45:38|M7|021|          |
|   7198482730    |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|        1,560 |EA |       3|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 441 EA : 7198482730 1815 0054            |02:15:35|M7|021|          |
|   7198482670    |28P 2X6.3MM  6X2.8MM  20X1.2MM SEALED FE|1815|0054|          480 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 459 EA : 7198482670 1815 0054            |02:15:53|M7|021|          |
|   7198482630    |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|        9,480 |EA |      26|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 4 EA : 7198482630 1815 0054              |17:16:00|M7|021|          |
|   7198459340    |48P CCC UEC FEMALE CONNECTOR HOUSING    |1815|0053|          840 |EA |       6|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 72 EA : 7198459340 1815 0053             |19:15:42|M7|021|          |
|   7197799430    |16P 1.2 YMT SEALED MALE INNER HOUSING   |1815|0054|        1,120 |EA |       2|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 208 EA : 7197799430 1815 0054            |19:15:29|M7|021|          |
|   7197484440    |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|        1,200 |EA |       4|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 150 EA : 7197484440 1815 0054            |03:15:37|M7|021|          |
|   7197483930    |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|          300 |EA |       2|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 150 EA : 7197483930 1815 0054            |17:45:29|M7|021|          |
|   7197483870    |28P 2X6.3MM  6X2.8MM  20X1.2MM SEALED MA|1815|0054|          900 |EA |       3|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 300 EA : 7197483870 1815 0054            |22:15:30|M7|021|          |
|   7197481530    |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|        2,250 |EA |       6|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 185 EA : 7197481530 1815 0054            |01:45:46|M7|021|          |
|   7197434630    |8P 0.64MM RH SEALED MALE HOUSING        |1815|0053|        2,128 |EA |       1|261|10/09/2025|      |10/09/2025|Deficit of SL Unrestricted-use 808 EA : 7197434630 1815 0053            |05:45:32|M7|021|          |
|   7197270710    |59P UNSEALED MALE HOUSING C MODEL       |1815|0054|        3,600 |EA |      23|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 49 EA : 7197270710 1815 0054             |10:45:29|M7|021|          |
|   7189915340    |10P 4P 2 8MM  6P 1 5MM UNSEALED FEMALE H|1815|0053|        7,280 |EA |       7|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 151 EA : 7189915340 1815 0053            |09:15:34|M7|021|          |
|   7189740630    |8P 1.2MM UNSEALED FEMALE HOUSING        |1815|0053|        3,600 |EA |       2|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 1,271 EA : 7189740630 1815 0053          |10:45:21|M7|021|          |
|   7189729440    |59P FEMALE HOUSING B KEYWAY             |1815|0054|        5,888 |EA |      19|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 10 EA : 7189729440 1815 0054             |23:15:14|M7|021|          |
|   7189729330    |59P FEMALE HOUSING A KEYWAY             |1815|0054|       11,008 |EA |      27|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 256 EA : 7189729330 1815 0054            |12:15:25|M7|021|          |
|   7189694440    |12P 1.2MM UNSEALED FEMALE HOUSING KEYWAY|1815|0053|        5,720 |EA |       4|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 164 EA : 7189694440 1815 0053            |11:45:28|M7|021|          |
|   7189687540    |9P 2.8 YESC KAIZEN UNSEALED FEMALE HOUSI|1815|0053|        2,268 |EA |       3|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 587 EA : 7189687540 1815 0053            |20:45:41|M7|021|          |
|   7189399380    |40P (26X1.5MM + 10X2.8MM + 2X6.3MM + 2X9|1815|0053|          192 |EA |       1|261|10/08/2025|      |10/08/2025|Deficit of SL Unrestricted-use 192 EA : 7189399380 1815 0053            |11:15:27|M7|021|          |
|   7189399130    |40P (26X1.5MM + 10X2.8MM + 2X6.3MM + 2X9|1815|0053|          192 |EA |       1|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 169 EA : 7189399130 1815 0053            |03:45:09|M7|021|          |
|   7189318530    |Connector 30p 047 (1.2)+110+250 Black   |1815|0053|        7,200 |EA |      11|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 279 EA : 7189318530 1815 0053            |08:45:31|M7|021|          |
|   7188875130    |2P 9 5MM UNSEALED MALE HOUSING          |1815|0053|        4,950 |EA |      10|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 826 EA : 7188875130 1815 0053            |15:15:22|M7|021|          |
|   7188729640    |59P MALE HOUSING B KEYWAY               |1815|0054|        2,700 |EA |      16|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 142 EA : 7188729640 1815 0054            |10:15:30|M7|021|          |
|   7188729530    |59P MALE HOUSING A KEYWAY               |1815|0054|        2,250 |EA |      11|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 61 EA : 7188729530 1815 0054             |04:45:22|M7|021|          |
|   7188694130    |12P 1.2MM UNSEALED MALE HOUSING         |1815|0053|          896 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 261 EA : 7188694130 1815 0053            |18:15:27|M7|021|          |
|   7187926610    |Connector 6p 110 Dark Gray              |1815|0053|        8,262 |EA |      17|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 101 EA : 7187926610 1815 0053            |23:45:40|M7|021|          |
|   71873831      |4P 6.3MM YESC KAIZEN UNSEALED FEMALE HOU|1815|0053|        1,872 |EA |       1|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 880 EA : 71873831 1815 0053              |15:45:27|M7|021|          |
|   7187357710    |2P 2.8 YESC SEALED FEMALE HOUSING       |1815|0053|       26,334 |EA |      32|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 328 EA : 7187357710 1815 0053            |12:15:27|M7|021|          |
|   7187199240    |2P 9.5MM SEALED FEMALE CONNECTOR HOUSING|1815|0053|        8,100 |EA |      23|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 278 EA : 7187199240 1815 0053            |14:15:28|M7|021|          |
|   71871919      |0.64-2 15P 1.5 10P HYBRID CONNECTOR HOUS|1815|0054|        4,250 |EA |      12|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 415 EA : 71871919 1815 0054              |10:15:05|M7|021|          |
|   7187191590    |1.5 12P UNSEALED CONNECTOR HOUSING FEMAL|1815|0053|        1,188 |EA |       1|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,056 EA : 7187191590 1815 0053          |14:15:20|M7|021|          |
|   7187097330    |2P DELPHI GT 1.5MM SEALED FEMALE HOUSING|1815|0053|        3,240 |EA |       2|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 372 EA : 7187097330 1815 0053            |18:15:27|M7|021|          |
|   7187002730    |2P 1.5MM YESC(5.0MM PITCH) M: PBTGF15   |1815|0053|        9,504 |EA |       5|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 649 EA : 7187002730 1815 0053            |00:15:31|M7|021|          |
|   7186986010    |6.3 SYSTEM SEALED 2P(M) HOUSING         |1815|0053|        5,760 |EA |       7|261|10/20/2025|      |10/20/2025|Deficit of SL Unrestricted-use 64 EA : 7186986010 1815 0053             |20:15:08|M7|021|          |
|   7185929602    |14.5MM HC UNSEALED FEMALE SHIELD SHELL  |1815|0053|          756 |EA |       5|261|10/22/2025|      |10/22/2025|Enter Batch                                                             |18:15:09|M7|018|          |
|   7185929402    |6.3MM YESC KAIZEN UNSEALED FEMALE SHIELD|1815|0053|        1,386 |EA |       3|261|10/17/2025|      |10/17/2025|Enter Batch                                                             |19:15:11|M7|018|          |
|   71851060      |2P 8MM SP SEALED 90 MALE CONNECTOR HOUSI|1815|0053|          864 |EA |       4|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 285 EA : 71851060 1815 0053              |12:15:09|M7|021|          |
|   71850489      |2P 8MM SP SEALED FEMALE HEADER BOTTOM TE|1815|0053|          648 |EA |      10|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 50 EA : 71850489 1815 0053               |15:46:14|M7|021|          |
|   7185018906    |P702 9.5MM FEMALE TERMINAL              |1815|0053|          353 |EA |       2|261|10/24/2025|      |10/24/2025|Enter Batch                                                             |16:15:19|M7|018|          |
|   7185016508    |Busbar                                  |1815|0053|        1,342 |EA |       9|261|10/17/2025|      |10/17/2025|Enter Batch                                                             |11:45:09|M7|018|          |
|   7183974930    |6P 4P 1.5 + 2P 6.3 UNSEALED CONNECTOR HO|1815|0053|        3,780 |EA |       3|261|10/09/2025|      |10/09/2025|Deficit of SL Unrestricted-use 492 EA : 7183974930 1815 0053            |18:15:17|M7|021|          |
|   7183906290    |KAIZEN 0.64 SYSTEM UNSEALED 14P FEMALE H|1815|0054|        5,390 |EA |       7|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 41 EA : 7183906290 1815 0054             |06:15:33|M7|021|          |
|   7183904630    |YESC2 0.64 UNSEALED CONNECTOR 12P F HOUS|1815|0054|        1,540 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 212 EA : 7183904630 1815 0054            |08:45:04|M7|021|          |
|   71839039      |KAIZEN 0.64 SYSTEM UNSEALED 10P FEMALE H|1815|0054|       15,400 |EA |      17|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 445 EA : 71839039 1815 0054              |04:15:05|M7|021|          |
|   7183902230    |KAIZEN 0.64 SYSTEM UNSEALED 8P FEMALE HO|1815|0053|        5,390 |EA |       5|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,346 EA : 7183902230 1815 0053          |12:15:30|M7|021|          |
|   7183839640    |HYBRID SYSTEM CONNECTOR 0.64 10P 2.8 4P |1815|0053|        4,160 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 294 EA : 7183839640 1815 0053            |20:45:29|M7|021|          |
|   71838349      |CAN J/C 1.0-3 040-3 2P CONNECTOR HOUSING|1815|0053|        4,500 |EA |       1|261|10/10/2025|      |10/10/2025|Deficit of SL Unrestricted-use 3,723 EA : 71838349 1815 0053            |17:15:07|M7|021|          |
|   7183822030    |2.3-2 090-2 2P SEALED CONNECTOR HOUSING |1815|0053|        1,430 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 1,250 EA : 7183822030 1815 0053          |02:45:24|M7|021|          |
|   7183730140    |2.3-2 090-2 10P CONNECTOR HOUSING FEMALE|1815|0053|        2,000 |EA |       1|261|10/20/2025|      |10/20/2025|Deficit of SL Unrestricted-use 1,010 EA : 7183730140 1815 0053          |23:15:16|M7|021|          |
|   71837166      |090-2 6P CONNECTOR HOUSING FEMALE, PBT N|1815|0053|        2,400 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 1,000 EA : 71837166 1815 0053            |15:15:07|M7|021|          |
|   7183646940    |KAIZEN 6.3 SYSTEM CONNECTOR 4P FEMALE HO|1815|0053|       15,912 |EA |      14|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 134 EA : 7183646940 1815 0053            |14:15:22|M7|021|          |
|   7183645940    |HYBRID SYSTEM CONNECTOR 10P F HOUSING, L|1815|0053|        3,120 |EA |       1|261|10/12/2025|      |10/12/2025|Deficit of SL Unrestricted-use 2,131 EA : 7183645940 1815 0053          |19:45:13|M7|021|          |
|   7183645740    |2.8SYSTEM CONNECTOR 10P F HOUSING, LY   |1815|0053|          770 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 762 EA : 7183645740 1815 0053            |03:15:36|M7|021|          |
|   7183645470    |1.5SYSTEM CONNECTOR 6P F HOUSING        |1815|0053|        3,432 |EA |       2|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 618 EA : 7183645470 1815 0053            |18:15:32|M7|021|          |
|   7183644770    |YESC KAIZEN HYBRID SYSTEM CONN 14P F HSG|1815|0053|          785 |EA |       1|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 258 EA : 7183644770 1815 0053            |15:45:38|M7|021|          |
|   71835830      |1.0-3 040-3 5P CONNECTOR HOUSING FEMALE,|1815|0053|        2,700 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 242 EA : 71835830 1815 0053              |07:15:16|M7|021|          |
|   7183457730    |0.64-2 10P CONNECTOR HOUSING FEMALE C:B |1815|0054|        4,320 |EA |       2|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 1,820 EA : 7183457730 1815 0054          |19:45:34|M7|021|          |
|   7183457640    |0.64-2 5P CONNECTOR HOUSING FEMALE C:LY |1815|0054|        5,400 |EA |       1|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 2,245 EA : 7183457640 1815 0054          |11:45:18|M7|021|          |
|   7183374040    |6.3 SYSTEM CONNECTOR 6P FEMALE HOUSING, |1815|0053|        2,430 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 780 EA : 7183374040 1815 0053            |03:45:32|M7|021|          |
|   7183344130    |8P YESC KAIZEN 1.5MM UNSEALED FEMALE HOU|1815|0053|        1,540 |EA |       1|261|10/14/2025|      |10/14/2025|Deficit of SL Unrestricted-use 492 EA : 7183344130 1815 0053            |14:15:18|M7|021|          |
|   7183344040    |KAIZEN 1.5 SYSTEM CONNECTOR 3P (F) HOUSI|1815|0053|       12,960 |EA |      10|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 653 EA : 7183344040 1815 0053            |23:15:05|M7|021|          |
|   7183324460    |2.8 SYSTEM CONNECTOR 8P FEMALE HOUSING, |1815|0053|        7,560 |EA |       6|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 406 EA : 7183324460 1815 0053            |18:15:28|M7|021|          |
|   7183310810    |6.3 SYSTEM SEALED 4P F PBT HOUSING C:DY |1815|0053|       15,120 |EA |      17|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 1,008 EA : 7183310810 1815 0053          |17:45:22|M7|021|          |
|   7183304290    |8.0 312 4P CONNECTOR HOUSING FEMALE, PBT|1815|0053|        1,620 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 500 EA : 7183304290 1815 0053            |10:45:15|M7|021|          |
|   71831556      |1.0-3 040-3 6P 2.3-2 090-2 4P CONNECTOR |1815|0053|       21,600 |EA |      11|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 270 EA : 71831556 1815 0053              |15:15:17|M7|021|          |
|   7182656140    |6P 0.64MM UNSEALED CONNECTOR MALE HOUSIN|1815|0053|        1,600 |EA |       1|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 200 EA : 7182656140 1815 0053            |13:45:17|M7|021|          |
|   7182646940    |KAIZEN 6.3 SYSTEM CONNECTOR 4P MALE HOUS|1815|0053|        7,800 |EA |      10|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 490 EA : 7182646940 1815 0053            |07:15:37|M7|021|          |
|   7182645940    |HYBRID SYSTEM CONNECTOR 10P M HOUSING, L|1815|0053|       16,200 |EA |      13|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 1,537 EA : 7182645940 1815 0053          |18:15:27|M7|021|          |
|   7182645840    |6.3SYSTEM CONNECTOR 2P M HOUSING, LY    |1815|0053|        3,200 |EA |       3|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 1,400 EA : 7182645840 1815 0053          |00:45:18|M7|021|          |
|   7182645690    |1.5SYSTEM CONNECTOR 16P M HOUSING, L    |1815|0053|        1,200 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 731 EA : 7182645690 1815 0053            |18:45:18|M7|021|          |
|   7182645440    |1.5SYSTEM CONNECTOR 6P M HOUSING, LY    |1815|0053|       16,000 |EA |       9|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 2,277 EA : 7182645440 1815 0053          |15:15:13|M7|021|          |
|   7182645360    |1.5SYSTEM CONNECTOR 16P M HOUSING, G    |1815|0053|          600 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 450 EA : 7182645360 1815 0053            |01:45:15|M7|021|          |
|   7182644340    |1.5SYSTEM CONNECTOR 2P M HOUSING, LY    |1815|0053|       49,500 |EA |      28|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 423 EA : 7182644340 1815 0053            |10:45:11|M7|021|          |
|   7182607530    |0.64 SYSTEM SEALED CONNECTOR 2P M SHROUD|1815|0053|        7,500 |EA |       5|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 718 EA : 7182607530 1815 0053            |04:15:28|M7|021|          |
|   71826074      |0.64 SYSTEM SEALED CONNECTOR 2P M HOUSIN|1815|0053|        4,500 |EA |       3|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 69 EA : 71826074 1815 0053               |18:15:18|M7|021|          |
|   7182457840    |0.64-2 22P CONNECTOR HOUSING MALE C:LY W|1815|0054|        2,400 |EA |       4|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 480 EA : 7182457840 1815 0054            |05:15:14|M7|021|          |
|   7182374040    |YESC KAIZEN 6.3 SYSTEM CONNECTOR 6P M HO|1815|0053|       23,600 |EA |      52|261|10/15/2025|      |10/15/2025|Deficit of SL Unrestricted-use 200 EA : 7182374040 1815 0053            |03:15:14|M7|021|          |
|   7182324340    |2.8 SYSTEM CONNECTOR 8P MALE HOUSING, 2.|1815|0053|          950 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 50 EA : 7182324340 1815 0053             |02:45:14|M7|021|          |
|   71821198      |090-2 18P 187 1P HYBRID CONNECTOR HOUSIN|1815|0053|          384 |EA |       1|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 207 EA : 71821198 1815 0053              |17:45:05|M7|021|          |
|   71773005      |14P 1.2MM UNSEALED MALE HOUSING         |1815|0053|        1,152 |EA |       6|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 37 EA : 71773005 1815 0053               |19:15:11|M7|021|          |
|   7173792430    |Mat Seal Cover Black                    |1815|0053|          154 |EA |       1|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 98 EA : 7173792430 1815 0053             |17:15:15|M7|021|          |
|   7173780730    |Mat Seal Cover Black                    |1815|0053|          150 |EA |       1|261|10/20/2025|      |10/20/2025|Deficit of SL Unrestricted-use 105 EA : 7173780730 1815 0053            |20:15:05|M7|021|          |
|   7173743430    |Mat Seal Cover Black                    |1815|0053|          750 |EA |       1|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 210 EA : 7173743430 1815 0053            |13:45:41|M7|021|          |
|   7173742530    |Mat Seal Cover Black                    |1815|0053|        1,050 |EA |       1|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 99 EA : 7173742530 1815 0053             |17:45:45|M7|021|          |
|   7173741730    |Mat Seal Cover Black                    |1815|0053|          900 |EA |       2|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 365 EA : 7173741730 1815 0053            |09:45:14|M7|021|          |
|   7173696330    |Mat Seal Cover Black                    |1815|0053|          450 |EA |       1|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 15 EA : 7173696330 1815 0053             |23:15:36|M7|021|          |
|   7173673330    |Mat Seal Cover Black                    |1815|0053|          600 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 90 EA : 7173673330 1815 0053             |18:45:38|M7|021|          |
|   7173670230    |Mat Seal Cover Black                    |1815|0053|          300 |EA |       1|261|10/04/2025|      |10/04/2025|Deficit of SL Unrestricted-use 71 EA : 7173670230 1815 0053             |13:45:23|M7|021|          |
|   7173668630    |Mat Seal Cover Black                    |1815|0053|          450 |EA |       1|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 75 EA : 7173668630 1815 0053             |05:15:29|M7|021|          |
|   7173586630    |Mat Seal Cover Black                    |1815|0053|          150 |EA |       1|261|10/14/2025|      |10/14/2025|Deficit of SL Unrestricted-use 150 EA : 7173586630 1815 0053            |20:45:10|M7|021|          |
|   7173585730    |Mat Seal Cover Black                    |1815|0053|          150 |EA |       1|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 120 EA : 7173585730 1815 0053            |22:15:37|M7|021|          |
|   7173578130    |Mat Seal Cover Black                    |1815|0053|          150 |EA |       1|261|10/07/2025|      |10/07/2025|Deficit of SL Unrestricted-use 100 EA : 7173578130 1815 0053            |02:15:54|M7|021|          |
|   7173563230    |Mat Seal Cover Black                    |1815|0053|          450 |EA |       1|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 201 EA : 7173563230 1815 0053            |13:46:01|M7|021|          |
|   7173556330    |Lever                                   |1815|0053|        1,080 |EA |      10|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 76 EA : 7173556330 1815 0053             |09:15:46|M7|021|          |
|   71735552      |Lever                                   |1815|0053|       22,548 |EA |     182|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 240 EA : 71735552 1815 0053              |12:15:27|M7|021|          |
|   71735535      |Lever                                   |1815|0054|        2,160 |EA |       6|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 360 EA : 71735535 1815 0054              |13:16:09|M7|021|          |
|   71733830      |Lever                                   |1815|0053|       85,250 |EA |     196|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 230 EA : 71733830 1815 0053              |02:15:41|M7|021|          |
|   7173376430    |Mat Seal Cover Black                    |1815|0053|        3,750 |EA |       8|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 409 EA : 7173376430 1815 0053            |06:15:31|M7|021|          |
|   7173362430    |Mat Seal Cover Black                    |1815|0052|        4,680 |EA |       2|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 1,989 EA : 7173362430 1815 0052          |20:15:02|M7|021|          |
|   71733622      |Lever                                   |1815|0053|       15,750 |EA |      49|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 293 EA : 71733622 1815 0053              |15:45:20|M7|021|          |
|   71733440      |Lever                                   |1815|0054|       30,094 |EA |     131|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 263 EA : 71733440 1815 0054              |22:15:41|M7|021|          |
|   71732935      |49P (30X1.5MM + 18X2.8MM + 1X6.3MM) YES |1815|0053|        8,568 |EA |      67|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 136 EA : 71732935 1815 0053              |19:15:44|M7|021|          |
|   71732340      |Lever                                   |1815|0053|        5,850 |EA |      35|261|10/20/2025|      |10/20/2025|Deficit of SL Unrestricted-use 198 EA : 71732340 1815 0053              |03:45:08|M7|021|          |
|   71732055      |42P HYBRID LIF UNSEALED FEMALE LEVER    |1815|0053|        2,839 |EA |      20|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 30 EA : 71732055 1815 0053               |13:15:34|M7|021|          |
|   7172558760    |Seal Green                              |1815|0053|       12,080 |EA |      43|261|10/17/2025|      |10/17/2025|Enter Batch                                                             |21:45:32|M7|018|          |
|   7172205950    |CPA                                     |1815|0053|          504 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 89 EA : 7172205950 1815 0053             |21:15:46|M7|021|          |
|   71722058      |Front Spacer Holder                     |1815|0053|          504 |EA |       1|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 89 EA : 71722058 1815 0053               |21:15:46|M7|021|          |
|   71721888      |8P HYBRID 6P 1.2MM + 2P MINI FAKRA UNSEA|1815|0053|        4,752 |EA |       2|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 1,472 EA : 71721888 1815 0053            |19:45:34|M7|021|          |
|   71721857      |TPA                                     |1815|0053|        3,240 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 19 EA : 71721857 1815 0053               |06:16:14|M7|021|          |
|   7172182150    |CPA                                     |1815|0053|        1,344 |EA |       9|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 122 EA : 7172182150 1815 0053            |23:15:56|M7|021|          |
|   7172181360    |Front Spacer Holder                     |1815|0054|          750 |EA |       1|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 81 EA : 7172181360 1815 0054             |09:45:41|M7|021|          |
|   71721811      |28P 2X6.3MM + 6X2.8MM + 20X1.2MM SEALED |1815|0054|       33,480 |EA |      91|261|10/25/2025|      |10/25/2025|Deficit of SL Unrestricted-use 65 EA : 71721811 1815 0054               |15:15:39|M7|021|          |
|   71721796      |TPA                                     |1815|0053|       10,680 |EA |      66|261|10/24/2025|      |10/24/2025|Deficit of SL Unrestricted-use 2 EA : 71721796 1815 0053                |04:15:27|M7|021|          |
